Item,Terms,Level,Tense,Suitable response categories,Direction,Context,Contributor,Date,AI-drafted,Reviewed/edited
I acted with caution.,Cautious action,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I behaved in ways that pushed people away.,Antisocial action,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt unwell due to illness.,Illness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I faced difficulties that were hard to manage.,Difficulty,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I planned things carefully.,Planfulness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
My emotions got in the way of what I wanted to do.,Role limitations (emotional),Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I treated myself with respect.,Self-respect,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about the things I owned.,Possessions,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had negative experiences that affected me.,Negative experiences,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had positive experiences that uplifted me.,Positive experiences,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I kept up with personal hygiene like bathing or brushing teeth.,Personal hygiene,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I faced my problems directly.,Approach coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt a sense of emptiness or nothingness.,Nothingness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I thought of myself in a positive way.,Self-regard,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt that my life had meaning.,Meaningful existence,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt supported by my friendships.,Friendships,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I slept well.,Sleep quality,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt a sense of harmony in my life.,Harmony,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I drew strength from my spiritual beliefs.,Spiritual strength,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt hostile toward others.,Hostility,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt I was growing as a member of society.,Social actualization,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt accepted in the environments I was part of.,Affiliative environment,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt reassured that I mattered.,Reassurance of worth,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I put effort into what I cared about.,Investment of effort,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt connected to a spiritual being or force.,Connectedness to spiritual being,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was in a bad mood.,Bad mood,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I did enjoyable things in my free time.,Leisure time activities,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I used comforting or soothing ways to handle stress.,Palliative reactions,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I kept up with housework or domestic tasks.,Domestic chores,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I interacted socially with others.,Social interaction,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt frustrated.,Frustration,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was aware of my impact on the environment.,Eco-awareness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt that my community was doing well.,Communal wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I expressed my emotions clearly.,Emotional expression,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I got involved in activities that mattered to me.,Involvement in activities,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt I was becoming the best version of myself.,Perceived development of best potentials,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I enjoyed the activities I did.,Enjoyment of activities,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I acted in line with my values.,Values orientation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt mentally well.,Mental wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt grateful.,Gratitude,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt tired.,Tireness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had positive relationships with others.,Positive relations,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to forgive someone.,Forgiveness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt that I was living life to the fullest.,Full life,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt well in my work or job.,Work wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I kept up with my responsibilities.,Responsibilities,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt okay about my financial situation.,Financial situation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I got along well with others.,Getting along with others,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I struggled with spiritual or existential concerns.,Spiritual symptoms,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to climb stairs without difficulty.,Climbing stairs,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to fulfill my daily roles or tasks.,Role function,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt positive about my work or occupation.,Occupational wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt ready to make changes in my life.,Readiness for change,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was tolerant of people or situations.,Tolerance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to pay attention when needed.,Attention,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I chose freely how to spend my social time.,Social discretionary,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I made good use of available resources.,Using resources,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about my interactions with others.,Interpersonal wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I showed when I was annoyed.,Expressing annoyance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt that life was valuable.,Valuation of life,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I used ways of coping that worked for me.,Coping style,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I attained something I was aiming for.,Attainment,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt my community was doing well.,Community wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I acted with purpose and intention.,Intentional behavior,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
"I was able to think, feel, and act in healthy ways.",Psychological function,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I became deeply engaged in what I was doing.,Flow,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had fewer stressful things to deal with.,Fewer stressors,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt mentally and physically activated.,Activation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt that my life had meaning.,Presence of meaning,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was searching for a deeper meaning in life.,Search for meaning,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I actively handled the problems I faced.,Active handling,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I approached problems with careful planning.,Planful problem solving,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I accepted responsibility for my actions.,Accepting responsibility,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I believed I had little control over outcomes.,Fatalistic coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I helped others.,Helping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I used good interpersonal skills.,Interpersonal skills,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I found ways to make up for other losses or challenges.,Compensating experiences,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I showed respect for others.,Respect,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I received helpful guidance.,Guidance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had a positive experience.,Positive experience,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had a negative experience.,Negative experience,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I took initiative to grow and improve myself.,Personal growth initiative,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt close and attached to someone.,Attachment,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I kept a personal structure or routine that worked for me.,Personal structure,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt connected to something greater than myself.,Transcendental wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
"I gave time, energy, or resources to others.",Giving,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I distanced myself from upsetting situations.,Distancing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I comforted myself when stressed.,Palliative coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt supported by my environment.,Supportive environment,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I worked closely with someone on something important.,Partnering,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I kept my emotions to myself.,Expressive suppression,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt glad.,Gladness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I coped by focusing on getting things done.,Task-oriented coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I rethought a situation to see it more positively.,Cognitive reappraisal,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I focused on how I felt in order to cope.,Emotion-oriented coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt mentally sharp and curious.,Intellectual wellness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt useful.,Usefulness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I treated myself with kindness during hard times.,Self-compassion,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt pleasure and enjoyment in life.,Hedonic wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt life was comprehensible and manageable.,Sense of coherence,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I contributed to my community or society.,Citizenship,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I avoided problems and hoped they'd go away.,Passive-avoidance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I talked to someone about a problem I faced.,Problem sharing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt satisfied with my health.,Satisfaction with health,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I expressed my feelings in a negative way.,Negative expression,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I dealt with a physical health condition.,Physical health conditions,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
My family worked well together.,Family coherence,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt the economy affected my life.,Economy,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I maintained my composure in difficult situations.,Composure,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I lost track of time or felt it was distorted.,Distorted sense of time,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt helpless.,Helplessness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt alert and aware.,Alertness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had insight into myself or my situation.,Insight,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I took initiative without being prompted.,Initiative,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I struggled in social situations.,Social symptoms,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to think clearly.,Clear thinking,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt uncertain about things.,Uncertainty,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was interested in other people's lives.,Interest in others,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I functioned well in my daily life.,Daily functioning,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I lived independently without needing help.,Independent living,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I faced problems head-on.,Confrontive coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt a sense of belonging in my community.,Sense of community,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I received support from people my age or background.,Peer support,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt treated with dignity.,Dignity,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt unwell or emotionally low.,Negative wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I believed in my ability to cope.,Coping self,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I avoided thinking about or dealing with stress.,Evasive coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I gave care and support to others.,Nurturance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had someone I could always count on.,Reliable alliance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt satisfied with my occupation or work.,Occupation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I managed difficult emotions to get through challenges.,Emotive coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt connected to who I truly am.,Essential self,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about my neighbourhood.,Neighborhood,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt physical or emotional discomfort.,Discomfort,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt that others liked and accepted me.,Popularity,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I compared myself to others who seemed better off.,Upward social comparison,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt supported by my extended family or relatives.,Relatives,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt financially well-off.,Wealth,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt positively about my physical self.,Physical self,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had positive and enjoyable social interactions.,Positive social interaction,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I spent time doing activities outdoors.,Outdoor activities,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I coped by relying on myself.,Self-reliant coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I avoided dealing with problems.,Avoidant coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt I had enough support from others.,Support appraisal,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt strong emotions.,Emotion,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I visited other people.,Visiting,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
"I engaged with the arts (e.g. music, painting, theatre).",Arts,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I thought clearly and focused well.,Cognition,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I reacted emotionally to situations.,Emotional reaction,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I functioned well in social situations.,Social functioning,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I visited relatives.,Visiting relatives,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I spent time visiting friends.,Visiting friends,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt compassion for others.,Compassion,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt nervous or uneasy.,Nervousness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt dissatisfied with how things were going.,Dissatisfaction,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
"I fulfilled my social roles (e.g. friend, parent).",Social roles,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt active and energised.,Feeling active,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I worked on improving myself.,Self-improvement,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I found things amusing or entertaining.,Amusement,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I took part in worship or religious practices.,Worship,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt capable of handling what came my way.,Capability,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt satisfied with my income.,Income,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I coped by seeking support from others.,Supportive coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I coped by directly addressing problems.,Confrontive coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to think clearly and process information.,Cognitive function,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I kept up with household responsibilities.,Household duties,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had good relationships with others.,Social relations,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was aware of my feelings.,Feelings,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I managed my reactions and impulses.,Self-controlling,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I noticed and appreciated beauty.,Beauty,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I relied on myself to handle things.,Self-reliance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt confident in social situations.,Social self,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt down or low in mood.,Feeling blue,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I adapted well to changing situations.,Ego-resiliency,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I engaged in thoughtful reflection.,Thinking,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I gave or received advice.,Advice,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt disappointed.,Disappointment,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt socially isolated.,Social isolation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I achieved something meaningful.,Success,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had supportive relationships.,Supportive relationships,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about where I lived.,Housing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to bend or move easily.,Bending,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt connected to my community.,Community connectedness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I acted with kindness toward others.,Benevolence,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I stayed focused on the present moment.,Present-centredness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt secure about my future.,Future security,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I gave or received assistance.,Assistance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt physically strong.,Physical strength,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I handled stress in ways that worked for me.,General coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I coped by focusing on positive outcomes.,Optimistic coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt satisfied with my sexual experiences.,Sex,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt I had failed at something important.,Failure,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had positive interactions with others.,Interpersonal relationships,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about how I spent my time.,What we do,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt balanced between work and personal life.,Work-life harmony,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about my surroundings.,Environment,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt protected and safe.,Protection,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I expressed myself creatively.,Creative self,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt connected to God or a higher power.,Belief in god,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt satisfied with my job.,Job,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt close in my intimate relationships.,Intimate relations,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I took care of my physical needs.,Physical self-care,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt that leadership or governance worked well for me.,Governance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about the place I live.,Where we live,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I managed my personal finances well.,Personal finance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt well in myself.,Subjective wellbeing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt pleased with how things were going.,Pleasedness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt attractive.,Attractiveness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I became absorbed in what I was doing.,Absorbtion,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had health problems that affected me.,Health problems,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I used public transport when needed.,Using public transport,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to do my usual activities.,General activities,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I asked for help when I needed it.,Asking for help,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt physically strong and thriving.,Physical thriving,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I listened attentively to others.,Listening,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about my appearance.,Appearance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I acted according to my own values and goals.,Autonomous orientation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I spent time meeting or socialising with others.,Meeting others,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
My emotions got in the way of what I wanted to do.,Limitations (emotional),Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I took bold or daring actions.,Daring,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I acted because of pressure or expectations.,Controlled orientation,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I worked hard at what I was doing.,Hard working,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I spent time gardening or caring for plants.,Gardening,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had an overall emotional tone that was positive.,Global affect,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt cheerless or low.,Cheerlessness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I tried to avoid uncomfortable thoughts or feelings.,Experiential avoidance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to do the work required of me.,Work capacity,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt close to people who matter to me.,Close relationships,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I performed well in tasks or responsibilities.,Performance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt physically healthy.,Physiological health,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I bounced back well using my coping strategies.,Resilient coping,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt sympathy for others.,Sympathy,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt I was living with a sense of mission or purpose.,Mission,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I received warmth and affection from others.,Affectionate support,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I spent time socialising with others.,Socializing,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt comfortable with the material things I had.,Material comfort,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I was able to travel or get around as needed.,Able to travel,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt dizzy or light-headed.,Dizziness,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I had the endurance to keep going when it was hard.,Endurance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt satisfied with my romantic relationship.,Love relationship,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt annoyed.,Annoyance,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I felt good about my relationships with relatives.,Relationships with relatives,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
I took part in social service or volunteer work.,Social service,Experiences,Past,"Agree-disagree, Never-Often",,General,1,14/06/2025,y,
